pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_dens,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_logg,sy_dist,sy_disterr1,sy_disterr2,sy_snum,sy_pnum
HR 8799 d,HR 8799,Imaging,2008,W. M. Keck Observatory,13.0,1.0,0.0,3000.0,1000.0,-1000.0,37000.0,,,24.0,,,,,,,,,,,,,1.5,0.3,-0.3,,41.2441,0.1515,-0.1505,1,4
WASP-96 b,WASP-96,Transit,2014,SuperWASP,13.45,0.67,-0.67,152.55,9.53,-9.53,3.4252602,2.7e-06,-2.7e-06,0.0453,0.0013,-0.0013,1285.0,40.0,-40.0,0.37,5540.0,140.0,-140.0,1.05,0.05,-0.05,1.06,0.09,-0.09,4.42,352.464,4.746,-4.623,1,1
HD 114783 b,HD 114783,Radial Velocity,2001,W. M. Keck Observatory,,,,,,,493.7,1.8,-1.8,1.16,0.019,-0.019,,,,,5135.0,44.0,-44.0,,,,0.853,0.034,-0.034,,21.0628,0.0285,-0.0284,1,2
HAT-P-1 b,HAT-P-1,Transit,2006,HATNet,14.784671,0.212971,-0.212971,166.86075,6.03877,-6.03877,4.46529976,5.5e-07,-5.5e-07,0.05561,0.00082,-0.00083,1322.0,14.0,-15.0,0.282,5980.0,49.0,-49.0,1.174,0.026,-0.027,1.151,0.052,-0.051,4.359,158.979,0.977,-0.965,2,1
HR 8799 b,HR 8799,Imaging,2008,Gemini Observatory,13.0,1.0,-1.0,2000.0,1000.0,-600.0,170000.0,,,68.0,,,,,,,,,,,,,1.5,0.3,-0.3,,41.2441,0.1515,-0.1505,1,4
HD 181433 c,HD 181433,Radial Velocity,2008,La Silla Observatory,,,,,,,962.0,15.0,-15.0,1.76,,,,,,,4962.0,134.0,-134.0,,,,0.78,,,4.37,26.8762,0.0225,-0.0225,1,3
HD 181433 d,HD 181433,Radial Velocity,2008,La Silla Observatory,,,,,,,2172.0,158.0,-158.0,3.0,,,,,,,4962.0,134.0,-134.0,,,,0.78,,,4.37,26.8762,0.0225,-0.0225,1,3
HD 12661 c,HD 12661,Radial Velocity,2002,Multiple Observatories,,,,,,,1708.0,14.0,-14.0,2.8145,0.0238,-0.0238,,,,,5748.0,70.0,-70.0,1.11,0.08,-0.08,1.02,0.02,-0.02,,37.8478,0.0633,-0.063,1,2
HD 27894 c,HD 27894,Radial Velocity,2017,La Silla Observatory,,,,,,,36.07,0.26,-0.09,0.198,0.001,-0.001,,,,,,,,,,,0.8,,,,43.8214,0.0593,-0.0591,1,3
WASP-17 b,WASP-17,Transit,2009,SuperWASP,20.96083,2.69016,-2.69016,247.9074,73.1009,-73.1009,3.73543,8e-06,-8e-06,,,,,,,,6550.0,100.0,-100.0,1.49,0.19,-0.19,2.28,0.99,-0.99,4.2,405.908,8.779,-8.421,1,1
WASP-62 b,WASP-62,Transit,2012,SuperWASP,14.79588,0.89672,-0.89672,165.2716,25.4264,-25.4264,4.41195,3e-06,-3e-06,,,,,,,,6230.0,80.0,-80.0,1.23,0.08,-0.08,1.11,0.25,-0.25,4.45,175.631,0.59,-0.586,1,1
KELT-7 b,KELT-7,Transit,2015,KELT,17.9344,0.67254,-0.67254,441.7837,69.9226,-69.9226,2.73477,4e-06,-4e-06,,,,,,,,6768.0,7.0,-7.0,1.81,0.07,-0.07,1.76,0.25,-0.25,4.5,136.681,0.938,-0.924,1,1
HD 12661 b,HD 12661,Radial Velocity,2000,Multiple Observatories,,,,,,,262.70862,0.083,-0.083,0.84,0.02,-0.02,,,,,5645.0,31.0,-31.0,1.2,0.02,-0.02,1.2,0.1,-0.1,4.36,37.8478,0.0633,-0.063,1,2
HD 217107 b,HD 217107,Radial Velocity,1998,Lick Observatory,,,,,,,7.12682,3.9e-05,-3.9e-05,0.08,0.0,0.0,,,,,5622.0,17.0,-17.0,1.11,0.01,-0.01,1.0,0.05,-0.05,4.34,20.0619,0.0232,-0.0233,1,2
HD 68988 b,HD 68988,Radial Velocity,2001,Multiple Observatories,,,,,,,6.27711,0.00021,-0.00021,0.07,0.0,0.0,,,,,5932.0,23.0,-23.0,1.19,0.02,-0.02,1.28,0.09,-0.09,4.4,60.8447,0.1918,-0.1906,1,2
HD 24040 b,HD 24040,Radial Velocity,2006,W. M. Keck Observatory,,,,,,,3668.0,170.0,-170.0,4.92,0.21,-0.21,,,,,5802.0,15.0,-15.0,1.3,0.02,-0.02,1.11,0.12,-0.12,4.26,46.6224,0.1362,-0.1355,1,2
